conditions	error	g	q
711360000000000	6.5267E-007	7.5	7.5
711360000000000	6.1561E-007	7.5	8
711360000000000	8.545E-007	7.5	8.5
711360000000000	0.000001046	7.5	9
711360000000000	1.3563E-006	7.5	9.5
711360000000000	1.5422E-006	7.5	9.85
711360000000000	1.7642E-006	7.5	10
711360000000000	1.2925E-006	7.5	10.5
711360000000000	1.2889E-006	7.5	11
711360000000000	2.8482E-006	7.5	11.5
711360000000000	5.7985E-006	7.5	12
99182000000000	6.1669E-007	8	7.5
99182000000000	9.9158E-007	8	8
99182000000000	8.1056E-007	8	8.5
99182000000000	0.000000506	8	9
99182000000000	3.5739E-007	8	9.5
99182000000000	5.8611E-007	8	9.85
99182000000000	8.5388E-007	8	10
99182000000000	7.1518E-007	8	10.5
99182000000000	1.3064E-006	8	11
99182000000000	1.1946E-006	8	11.5
99182000000000	2.7918E-006	8	12
47179000000000	5.4266E-007	8.5	7.5
47179000000000	2.4263E-007	8.5	8
47179000000000	3.0516E-007	8.5	8.5
47179000000000	0.000000462	8.5	9
47179000000000	4.3438E-007	8.5	9.5
47179000000000	2.3333E-007	8.5	9.85
47179000000000	5.3068E-007	8.5	10
47179000000000	9.5331E-007	8.5	10.5
47179000000000	1.1405E-006	8.5	11
47179000000000	1.5592E-006	8.5	11.5
47179000000000	1.3374E-006	8.5	12
2217300000000	0	9	7.5
2217300000000	0	9	8
2217300000000	0	9	8.5
2217300000000	2.3084E-007	9	9
2217300000000	1.4344E-007	9	9.5
2217300000000	1.5313E-007	9	9.85
2217300000000	1.0091E-007	9	10
2217300000000	1.0913E-007	9	10.5
2217300000000	4.3491E-007	9	11
2217300000000	2.8913E-007	9	11.5
2217300000000	2.6736E-007	9	12
946550000000	0	9.5	7.5
946550000000	0	9.5	8
946550000000	0	9.5	8.5
946550000000	1.5713E-007	9.5	9
946550000000	1.5051E-007	9.5	9.5
946550000000	2.2394E-007	9.5	9.85
946550000000	0	9.5	10
946550000000	1.7651E-007	9.5	10.5
946550000000	1.7823E-007	9.5	11
946550000000	1.4647E-007	9.5	11.5
946550000000	1.7217E-007	9.5	12
398820000000	0	9.85	7.5
398820000000	0	9.85	8
398820000000	0	9.85	8.5
398820000000	0	9.85	9
398820000000	0	9.85	9.5
398820000000	0	9.85	9.85
398820000000	0	9.85	10
398820000000	0	9.85	10.5
398820000000	1.079E-007	9.85	11
398820000000	1.9122E-007	9.85	11.5
398820000000	2.2621E-007	9.85	12
204150000000	0	10	7.5
204150000000	0	10	8
204150000000	0	10	8.5
204150000000	0	10	9
204150000000	0	10	9.5
204150000000	0	10	9.85
204150000000	0	10	10
204150000000	0	10	10.5
204150000000	1.0193E-007	10	11
204150000000	1.2643E-007	10	11.5
204150000000	0	10	12
7955200000	0	10.5	7.5
7955200000	0	10.5	8
7955200000	0	10.5	8.5
7955200000	0	10.5	9
7955200000	0	10.5	9.5
7955200000	0	10.5	9.85
7955200000	0	10.5	10
7955200000	0	10.5	10.5
7955200000	0	10.5	11
7955200000	0	10.5	11.5
7955200000	0	10.5	12
2484700000	0	11	7.5
2484700000	0	11	8
2484700000	0	11	8.5
2484700000	0	11	9
2484700000	0	11	9.5
2484700000	0	11	9.85
2484700000	0	11	10
2484700000	0	11	10.5
2484700000	0	11	11
2484700000	0	11	11.5
2484700000	0	11	12
203190000	0	11.5	7.5
203190000	0	11.5	8
203190000	0	11.5	8.5
203190000	0	11.5	9
203190000	0	11.5	9.5
203190000	0	11.5	9.85
203190000	0	11.5	10
203190000	0	11.5	10.5
203190000	0	11.5	11
203190000	0	11.5	11.5
203190000	0	11.5	12
534.33	0	12	7.5
534.33	0	12	8
534.33	0	12	8.5
534.33	0	12	9
534.33	0	12	9.5
534.33	0	12	9.85
534.33	0	12	10
534.33	0	12	10.5
534.33	0	12	11
534.33	0	12	11.5
534.33	0	12	12
