conditions	error	g	q
668.39	0	7.5	7.5
668.39	0	7.5	8
668.39	0	7.5	8.5
668.39	0	7.5	9
668.39	0	7.5	9.5
668.39	0	7.5	10
668.39	0	7.5	10.5
668.39	0	7.5	11
668.39	0	7.5	11.5
668.39	0	7.5	12
654.39	0	8	7.5
654.39	0	8	8
654.39	0	8	8.5
654.39	0	8	9
654.39	0	8	9.5
654.39	0	8	10
654.39	0	8	10.5
654.39	0	8	11
654.39	0	8	11.5
654.39	0	8	12
637.87	0	8.5	7.5
637.87	0	8.5	8
637.87	0	8.5	8.5
637.87	0	8.5	9
637.87	0	8.5	9.5
637.87	0	8.5	10
637.87	0	8.5	10.5
637.87	0	8.5	11
637.87	0	8.5	11.5
637.87	0	8.5	12
620	0	9	7.5
620	0	9	8
620	0	9	8.5
620	0	9	9
620	0	9	9.5
620	0	9	10
620	0	9	10.5
620	0	9	11
620	0	9	11.5
620	0	9	12
601.92	0	9.5	7.5
601.92	0	9.5	8
601.92	0	9.5	8.5
601.92	0	9.5	9
601.92	0	9.5	9.5
601.92	0	9.5	10
601.92	0	9.5	10.5
601.92	0	9.5	11
601.92	0	9.5	11.5
601.92	0	9.5	12
584.65	0	10	7.5
584.65	0	10	8
584.65	0	10	8.5
584.65	0	10	9
584.65	0	10	9.5
584.65	0	10	10
584.65	0	10	10.5
584.65	0	10	11
584.65	0	10	11.5
584.65	0	10	12
569.15	0	10.5	7.5
569.15	0	10.5	8
569.15	0	10.5	8.5
569.15	0	10.5	9
569.15	0	10.5	9.5
569.15	0	10.5	10
569.15	0	10.5	10.5
569.15	0	10.5	11
569.15	0	10.5	11.5
569.15	0	10.5	12
556.27	0	11	7.5
556.27	0	11	8
556.27	0	11	8.5
556.27	0	11	9
556.27	0	11	9.5
556.27	0	11	10
556.27	0	11	10.5
556.27	0	11	11
556.27	0	11	11.5
556.27	0	11	12
546.8	0	11.5	7.5
546.8	0	11.5	8
546.8	0	11.5	8.5
546.8	0	11.5	9
546.8	0	11.5	9.5
546.8	0	11.5	10
546.8	0	11.5	10.5
546.8	0	11.5	11
546.8	0	11.5	11.5
546.8	0	11.5	12
541.36	0	12	7.5
541.36	0	12	8
541.36	0	12	8.5
541.36	0	12	9
541.36	0	12	9.5
541.36	0	12	10
541.36	0	12	10.5
541.36	0	12	11
541.36	0	12	11.5
541.36	0	12	12
